# x   y  x_err  y_err  corxy   weight
 0.161  1.168  0.051  0.071  0.374  0.621
 0.176  1.382  0.073  0.033  0.163  0.673
 0.218  1.448  0.066  0.033  0.152  0.552
 0.930  3.529  0.054  0.069  0.463  0.689
 0.181  1.749  0.026  0.047  0.259  0.848
 1.004  2.719  0.071  0.037 -0.489  0.763
 0.891  2.985  0.034  0.058 -0.732  0.762
 0.948  2.368  0.034  0.044 -0.201  0.902
 0.325  1.788  0.069  0.063 -0.412  0.728
 0.577  2.416  0.067  0.056 -0.899  0.916
 0.717  2.469  0.051  0.029  0.049  0.738
 0.417  1.705  0.030  0.046 -0.392  0.604
 0.716  2.247  0.042  0.037  0.488  0.594
 0.650  2.134  0.062  0.068 -0.939  0.565
 0.341  1.515  0.067  0.047  0.964  0.868
 0.802  2.487  0.044  0.034 -0.440  0.835
-0.005  1.405  0.033  0.039 -0.334  0.711
 0.515  2.144  0.047  0.027 -0.191  0.664
 0.854  2.645  0.026  0.030  0.643  0.714
 0.013  1.043  0.057  0.036  0.186  0.865
 0.573  2.086  0.044  0.028  0.682  0.702
 0.191  1.498  0.047  0.053  0.260  0.998
 0.384  1.878  0.026  0.044 -0.951  0.717
 0.421  1.963  0.074  0.025  0.819  0.790
 0.060  0.958  0.042  0.036  0.246  0.758
 0.903  2.619  0.027  0.035 -0.220  0.922
 0.183  1.511  0.039  0.026  0.567  0.666
 0.211  1.170  0.063  0.066  0.666  0.743
 0.541  1.983  0.046  0.073 -0.537  0.822
 0.810  2.674  0.071  0.052 -0.796  0.516
 0.888  3.050  0.068  0.067 -0.621  0.505
 0.634  2.519  0.063  0.031  0.014  0.654
 0.098  1.448  0.062  0.039 -0.733  0.847
 0.911  2.554  0.044  0.070 -0.641  0.591
 0.284  1.561  0.069  0.041  0.140  0.932
 0.388  1.850  0.038  0.036 -0.087  0.777
 0.317  1.424  0.033  0.066  0.995  0.532
 0.119  1.175  0.055  0.058 -0.666  0.761
-0.020  1.304  0.068  0.059 -0.531  0.775
 0.880  2.855  0.060  0.070 -0.594  0.634
 0.620  2.387  0.052  0.043 -0.456  0.533
 0.563  2.037  0.062  0.060  0.483  0.826
 0.452  1.894  0.055  0.030 -0.775  0.732
 0.629  2.304  0.050  0.073  0.194  0.925
 0.114  1.417  0.037  0.040 -0.344  0.894
 0.001  1.143  0.068  0.064 -0.540  0.548
 0.877  2.960  0.062  0.068 -0.196  0.695
 0.571  2.404  0.027  0.031  0.343  0.839
 0.994  3.003  0.049  0.043  0.423  0.746
 0.278  1.929  0.072  0.037 -0.944  0.577
 0.165  1.696  0.040  0.045 -0.250  0.858
 1.001  3.142  0.038  0.038 -0.910  0.706
 0.744  2.620  0.047  0.036  0.737  0.510
 0.339  1.423  0.038  0.033 -0.431  0.638
 0.519  1.877  0.071  0.071  0.515  0.581
 0.621  1.993  0.029  0.055  0.064  0.934
 0.931  3.018  0.040  0.038 -0.142  0.883
 0.059  1.504  0.053  0.037  0.162  0.951
 1.019  2.677  0.041  0.074  0.087  0.519
 0.840  2.777  0.030  0.065 -0.753  0.779
 0.769  2.734  0.074  0.026  0.223  0.554
-0.064  1.377  0.063  0.056  0.521  0.715
 0.071  1.004  0.026  0.054  0.989  0.930
 0.841  2.643  0.031  0.044  0.935  0.928
 0.880  2.910  0.071  0.037  0.318  0.696
 0.532  1.592  0.050  0.061  0.173  0.958
 0.194  1.909  0.025  0.031 -0.243  0.980
 0.075  1.090  0.062  0.061 -0.060  0.518
 0.125  1.268  0.074  0.029 -0.037  0.805
 0.876  2.748  0.036  0.071  0.841  0.907
 0.880  2.862  0.038  0.047 -0.658  0.711
 0.149  1.407  0.039  0.071  0.010  0.896
 0.533  2.292  0.044  0.025  0.573  0.713
 0.561  2.315  0.050  0.059 -0.085  0.922
 0.151  1.941  0.061  0.073 -0.972  0.933
 0.735  2.302  0.045  0.062  0.424  0.712
 0.590  2.211  0.075  0.043 -0.912  0.973
 0.925  2.580  0.063  0.044  0.757  0.548
 0.450  2.080  0.070  0.044  0.244  0.525
 0.597  2.139  0.067  0.068  0.914  0.819
 0.974  2.560  0.044  0.035  0.223  0.810
 0.937  2.900  0.032  0.049  0.144  0.508
 0.455  2.116  0.045  0.064 -0.965  0.582
 0.903  2.826  0.036  0.055  0.772  0.813
 0.877  3.019  0.027  0.069 -0.521  0.794
 0.557  2.082  0.073  0.058  0.473  0.701
-0.023  0.840  0.027  0.054 -0.140  0.700
 0.079  1.236  0.050  0.052  0.526  0.861
-0.011  0.795  0.059  0.043  0.231  0.699
 0.603  2.270  0.038  0.043  0.378  0.685
 0.819  2.689  0.065  0.030  0.300  0.521
 0.213  1.498  0.072  0.075 -0.705  0.560
 0.189  1.785  0.052  0.069  0.766  0.566
 0.387  1.731  0.065  0.060  0.545  0.515
 0.506  1.916  0.049  0.053 -0.142  0.997
 0.945  3.142  0.066  0.028 -0.858  0.780
 0.539  2.381  0.031  0.037 -0.930  0.924
 0.108  1.111  0.030  0.037 -0.042  0.513
 0.016  1.245  0.057  0.054 -0.391  0.898
 0.209  1.095  0.031  0.037  0.893  0.805
