#logIe_J  logsigma  logRe_J  logIe_J_err  logsigma_err  logRe_J_err  weights
  2.94      2.137      0.465     0.084      0.073       0.057      1.0        
  3.708     2.338      0.024     0.071      0.023       0.048      1.0        
  3.067     2.219      0.343     0.07       0.045       0.047      1.0        
  3.328     2.369      0.371     0.068      0.04        0.046      1.0        
  2.859     2.144      0.316     0.062      0.066       0.042      1.8587362  
  3.035     2.189      0.322     0.091      0.093       0.061      1.0        
  3.112     2.209      0.227     0.079      0.049       0.053      1.4513788  
  3.354     2.336      0.211     0.079      0.058       0.053      1.0        
  2.884     2.402      0.658     0.059      0.048       0.04       1.0        
  3.079     2.34       0.497     0.067      0.04        0.045      1.0        
  2.93      2.244      0.502     0.076      0.028       0.051      1.0        
  2.96      2.159      0.317     0.082      0.062       0.056      1.3020834  
  2.65      2.185      0.399     0.091      0.075       0.062      2.1231422  
  3.162     2.368      0.439     0.048      0.024       0.032      1.0        
  2.82      2.113      0.421     0.062      0.05        0.042      1.0504202  
  3.335     2.283      0.364     0.066      0.031       0.045      1.0        
  2.725     2.284      0.651     0.054      0.035       0.036      1.0        
  2.858     2.212      0.518     0.075      0.039       0.051      1.0        
  3.175     2.224      0.127     0.095      0.057       0.064      2.2624435  
  3.046     2.21       0.174     0.094      0.097       0.064      2.5445292  
  2.864     2.182      0.266     0.087      0.053       0.059      2.5252526  
  3.575     2.371      0.056     0.091      0.079       0.061      1.0        
  3.303     2.312      0.255     0.069      0.038       0.047      1.0        
  3.018     2.333      0.4       0.066      0.029       0.044      1.0        
  3.066     2.38       0.498     0.067      0.041       0.045      1.0        
  3.443     2.144      -0.06     0.095      0.055       0.064      3.236246   
  3.308     2.289      0.215     0.087      0.067       0.059      1.0        
  3.037     2.311      0.401     0.062      0.022       0.042      1.0        
  3.181     2.144      0.255     0.068      0.048       0.046      1.0        
  2.646     2.095      0.494     0.065      0.056       0.044      1.1248595  
  3.478     2.344      0.201     0.071      0.043       0.048      1.0        
  3.347     2.297      0.024     0.08       0.059       0.054      2.5188916  
  3.888     2.362      -0.312    0.095      0.068       0.064      3.9525692  
  3.155     2.196      0.187     0.059      0.046       0.04       1.6233766  
  2.966     2.331      0.433     0.082      0.066       0.055      1.0        
  3.352     2.265      -0.028    0.091      0.06        0.061      3.5460992  
  3.264     2.392      0.383     0.048      0.014       0.032      1.0        
  3.22      2.378      0.411     0.048      0.021       0.033      1.0        
  3.195     2.211      0.194     0.069      0.028       0.047      1.3404826  
  3.268     2.284      0.227     0.073      0.06        0.049      1.0        
  3.382     2.26       -0.055    0.095      0.045       0.064      3.846154   
  3.199     2.301      0.184     0.081      0.035       0.054      1.4245014  
  3.361     2.222      0.24      0.062      0.023       0.042      1.0        
  3.319     2.229      0.078     0.087      0.062       0.059      1.9723865  
  3.162     2.333      0.266     0.07       0.029       0.048      1.0        
  2.778     2.391      0.61      0.055      0.033       0.037      1.0        
  3.274     2.183      0.232     0.091      0.034       0.061      1.0        
  3.117     2.063      0.097     0.059      0.093       0.04       3.412969   
  2.688     2.103      0.518     0.065      0.069       0.044      1.0        
  3.396     2.468      0.381     0.048      0.032       0.032      1.0        
  3.137     2.299      0.319     0.066      0.022       0.044      1.0        
  3.168     2.4        0.479     0.048      0.03        0.032      1.0        
  3.141     2.347      0.476     0.048      0.013       0.032      1.0        
  3.142     2.168      0.219     0.08       0.039       0.054      1.3661202  
  3.243     2.177      0.233     0.086      0.069       0.058      1.0        
  2.927     2.118      0.261     0.085      0.094       0.057      2.1097045  
  2.728     2.088      0.347     0.09       0.087       0.061      2.3148148  
  3.266     2.228      0.129     0.082      0.053       0.056      1.6420361  
  3.282     2.257      0.141     0.078      0.06        0.053      1.4265336  
  2.817     2.388      0.711     0.048      0.028       0.032      1.0        
  3.076     2.09       0.215     0.073      0.049       0.049      1.7361112  
  3.051     2.157      0.173     0.091      0.048       0.061      2.5252526  
  2.877     2.138      0.372     0.078      0.059       0.053      1.2121212  
  3.265     2.124      0.172     0.07       0.038       0.047      1.2285012  
  3.353     2.146      0.059     0.085      0.045       0.057      1.9607843  
  2.854     2.149      0.324     0.087      0.102       0.059      1.7953322  
  2.87      2.134      0.265     0.096      0.063       0.064      2.5575447  
  2.341     2.141      0.733     0.055      0.072       0.037      1.0        
  3.192     2.192      -0.0060   0.094      0.06        0.064      5.263158   
  3.063     2.329      0.343     0.061      0.027       0.041      1.0        
  3.05      2.203      0.348     0.077      0.036       0.052      1.0        
  2.978     2.093      0.078     0.095      0.074       0.064      6.3291135  
  3.342     2.333      0.173     0.076      0.026       0.052      1.017294   
  3.454     2.363      0.22      0.077      0.037       0.052      1.0        
  3.282     2.297      0.27      0.081      0.043       0.055      1.0        
  3.214     2.212      0.184     0.083      0.046       0.056      1.3947002  
  3.402     2.05       -0.028    0.08       0.079       0.054      2.9761906  
  2.492     2.128      0.568     0.068      0.062       0.046      1.1547344  
  3.334     2.155      0.078     0.053      0.025       0.036      1.8348624  
  2.742     2.17       0.584     0.057      0.042       0.039      1.0        
  3.168     2.174      0.208     0.082      0.046       0.055      1.369863   
  3.088     2.347      0.454     0.075      0.036       0.051      1.0        
  2.862     2.103      0.558     0.048      0.04        0.032      1.0        
  2.86      2.394      0.6       0.048      0.03        0.032      1.0        
  2.835     2.301      0.36      0.083      0.054       0.056      1.5197569  
  3.386     2.408      0.165     0.063      0.028       0.042      1.0        
  3.506     2.392      0.143     0.087      0.053       0.059      1.0        
  3.248     2.416      0.405     0.071      0.03        0.048      1.0        
  3.244     2.155      0.127     0.048      0.027       0.032      1.7889087  
  3.161     2.387      0.465     0.069      0.034       0.047      1.0        
  3.479     2.194      -0.162    0.065      0.042       0.044      5.780347   
  2.934     2.192      0.512     0.054      0.038       0.036      1.0        
  3.095     2.361      0.464     0.071      0.047       0.048      1.0        
  2.855     2.097      0.449     0.073      0.083       0.049      1.0        
  3.539     2.476      0.124     0.071      0.054       0.048      1.0        
  3.129     2.373      0.414     0.061      0.041       0.041      1.0        
  2.751     2.13       0.582     0.054      0.053       0.037      1.0        
  2.929     2.41       0.711     0.051      0.029       0.035      1.0        
  3.555     2.211      -0.055    0.071      0.041       0.048      2.1691973  
  3.007     2.13       0.32      0.074      0.084       0.05       1.1013216  
  3.419     2.153      0.191     0.05       0.061       0.034      1.0        
  3.144     2.253      0.301     0.075      0.042       0.051      1.0        
  2.821     2.24       0.622     0.05       0.032       0.034      1.0        
  3.222     2.155      0.23      0.076      0.043       0.051      1.0        
  3.528     2.198      -0.068    0.077      0.084       0.052      2.5839794  
  3.055     2.331      0.467     0.078      0.064       0.053      1.0        
  2.405     2.085      0.632     0.048      0.05        0.032      1.0        
  3.218     2.442      0.52      0.048      0.022       0.032      1.0        
  3.12      2.294      0.324     0.089      0.044       0.06       1.0        
  2.988     2.191      0.461     0.054      0.032       0.036      1.0        
  3.706     2.343      -0.152    0.079      0.035       0.053      2.4570024  
  3.481     2.053      -0.302    0.095      0.126       0.064      15.873015  
  2.941     2.14       0.44      0.048      0.032       0.032      1.0        
  3.366     2.307      0.226     0.057      0.02        0.038      1.0        
  3.085     2.201      0.386     0.084      0.039       0.056      1.0        
  3.047     2.213      0.201     0.086      0.071       0.058      2.1645021  
  3.331     2.064      -0.041    0.072      0.057       0.048      4.2735043  
  3.196     2.172      0.244     0.074      0.05        0.05       1.0        
  3.022     2.111      0.337     0.048      0.036       0.032      1.0        
  3.496     2.281      0.097     0.048      0.016       0.032      1.0        
  3.315     2.296      0.422     0.063      0.022       0.043      1.0        
  3.352     2.32       0.07      0.073      0.036       0.05       1.814882   
  2.961     2.266      0.563     0.049      0.023       0.033      1.0        
  2.62      2.107      0.655     0.075      0.07        0.051      1.0        
  3.087     2.11       0.12      0.067      0.059       0.045      3.267974   
  3.405     2.091      0.033     0.094      0.084       0.064      1.9841269  
  3.515     2.353      0.0040    0.088      0.038       0.059      1.6806722  
  3.071     2.231      0.172     0.087      0.062       0.059      2.4271846  
  3.301     2.239      0.14      0.052      0.033       0.035      1.3888888  
  3.121     2.259      0.387     0.048      0.025       0.032      1.0        
  2.978     2.101      0.338     0.073      0.132       0.049      1.0787487  
  2.876     2.256      0.585     0.048      0.03        0.032      1.0        
  3.036     2.209      0.361     0.066      0.048       0.044      1.0        
  2.973     2.254      0.215     0.07       0.055       0.047      2.4509804  
  2.714     2.15       0.529     0.048      0.031       0.032      1.0        
  3.438     2.275      0.101     0.087      0.043       0.059      1.1248595  
  3.205     2.341      0.303     0.048      0.02        0.032      1.0        
  3.244     2.311      0.303     0.084      0.04        0.057      1.0        
  3.049     2.273      0.425     0.056      0.047       0.038      1.0        
  3.18      2.25       0.306     0.068      0.039       0.046      1.0        
  3.088     2.344      0.413     0.08       0.031       0.054      1.0        
  3.556     2.244      -0.074    0.062      0.031       0.042      2.4213076  
  2.565     2.21       0.615     0.071      0.063       0.048      1.0        
  2.957     2.303      0.589     0.051      0.037       0.034      1.0        
  3.111     2.352      0.412     0.068      0.03        0.046      1.0        
  3.55      2.334      -0.04     0.09       0.049       0.061      2.004008   
  3.286     2.236      0.192     0.069      0.074       0.047      1.010101   
  2.961     2.229      0.429     0.087      0.093       0.059      1.0        
  3.03      2.173      0.302     0.048      0.034       0.032      1.1389521  
  3.49      2.354      0.0050    0.088      0.044       0.059      1.8115942  
  3.183     2.378      0.308     0.081      0.044       0.055      1.0        
  3.297     2.167      0.196     0.077      0.075       0.052      1.0        
  3.47      2.225      -0.165    0.081      0.131       0.055      6.0240965  
  3.308     2.191      0.159     0.093      0.065       0.063      1.2453301  
  3.212     2.088      0.09      0.054      0.055       0.036      2.5906734  
  2.995     2.237      0.299     0.086      0.053       0.058      1.3386881  
  2.96      2.24       0.255     0.085      0.081       0.057      1.9646366  
  3.291     2.278      0.166     0.048      0.033       0.032      1.1792454  
  3.083     2.352      0.36      0.087      0.053       0.059      1.0        
  2.967     2.413      0.662     0.048      0.017       0.032      1.0        
  3.487     2.117      -0.0060   0.094      0.08        0.064      1.9531249  
  3.282     2.318      0.31      0.058      0.024       0.039      1.0        
  3.234     2.273      0.219     0.094      0.051       0.064      1.0351967  
  2.907     2.192      0.446     0.087      0.051       0.059      1.0        
  3.059     2.314      0.357     0.084      0.041       0.056      1.0        
  3.525     2.132      -0.12     0.091      0.094       0.061      3.7878788  
  3.528     2.392      0.123     0.048      0.029       0.032      1.0        
  3.651     2.254      -0.297    0.088      0.035       0.059      8.264462   
  3.102     2.331      0.399     0.082      0.056       0.055      1.0        
  2.933     2.212      0.402     0.048      0.024       0.032      1.0        
  3.279     2.154      0.207     0.048      0.028       0.032      1.0        
  3.425     2.472      0.285     0.075      0.066       0.051      1.0        
  3.128     2.295      0.362     0.084      0.053       0.056      1.0        
  2.951     2.195      0.394     0.077      0.067       0.052      1.0        
  3.304     2.304      0.247     0.088      0.045       0.059      1.0        
  3.248     2.295      0.386     0.059      0.043       0.04       1.0        
  3.015     2.218      0.443     0.081      0.068       0.054      1.0        
  3.422     2.139      -0.0070   0.048      0.025       0.032      2.4570024  
  3.106     2.364      0.563     0.061      0.071       0.041      1.0        
  2.863     2.153      0.44      0.09       0.081       0.06       1.0        
