#logM         logj	    B/T      logM_err  logj_err   B/T_err    corMJ
    0.2695    0.0724    0.0394    0.0650    0.0300    0.0200    0.85000
    0.1615    0.0147    0.0529    0.0650    0.0300    0.0200    0.85000
   -0.0865   -0.1510    0.0224    0.0650    0.0300    0.0200    0.85000
    0.8808    0.5284    0.1042    0.0650    0.0300    0.0200    0.85000
   -0.8177   -0.9546         0    0.0650    0.0300    0.0200    0.85000
    0.4069    0.0901    0.0191    0.0650    0.0300    0.0200    0.85000
    0.4118    0.2420    0.0292    0.0650    0.0300    0.0200    0.85000
    0.4425   -0.0621    0.1424    0.0650    0.0300    0.0200    0.85000
    0.8069    0.1439    0.1562    0.0650    0.0300    0.0200    0.85000
    0.6240   -0.1634    0.2243    0.0650    0.0300    0.0200    0.85000
    0.3191   -0.6274    0.3150    0.0650    0.0300    0.0200    0.85000
    0.9069    0.2989    0.1663    0.0650    0.0300    0.0200    0.85000
    0.6579    0.1871    0.0905    0.0650    0.0300    0.0200    0.85000
    0.6224    0.0619    0.1000    0.0650    0.0300    0.0200    0.85000
    0.9869    0.3793    0.1601    0.0650    0.0300    0.0200    0.85000
   -0.3127   -0.5090    0.0128    0.0650    0.0300    0.0200    0.85000
