#logv logv_err  M_K  M_K_err  weights
2.2639 0.014 -23.852 0.099 1.0003
2.0534 0.018 -21.92 0.184 0.292569
2.2534 0.011 -23.317 0.172 0.336644
2.0095 0.018 -21.529 0.162 0.376393
2.3903 0.011 -24.451 0.084 1.39334
2.4387 0.014 -24.775 0.094 1.107174
2.1309 0.014 -22.798 0.107 0.858738
2.4435 0.012 -25.398 0.071 1.92864
2.2934 0.013 -23.944 0.08 1.522302
2.1123 0.014 -22.353 0.145 0.471231
2.145 0.013 -22.841 0.15 0.441131
1.9563 0.018 -20.866 0.252 0.156671
2.2467 0.012 -23.548 0.095 1.090631
2.3977 0.011 -25.055 0.101 0.968804
2.1206 0.014 -22.193 0.17 0.34369
2.0183 0.016 -21.232 0.185 0.290015
2.2477 0.012 -23.832 0.104 0.912409
1.9637 0.02 -20.158 0.262 0.144835
2.2691 0.014 -23.716 0.108 0.84317
2.1785 0.017 -23.144 0.109 0.821693
2.093 0.014 -20.975 0.203 0.241517
2.2895 0.012 -23.508 0.264 0.143184
2.0086 0.017 -21.171 0.242 0.169915
1.8028 0.028 -19.432 0.245 0.164449
2.0691 0.018 -21.519 0.156 0.405515
2.2688 0.014 -23.699 0.08 1.51607
1.9427 0.018 -20.619 0.192 0.268904
1.9759 0.019 -20.886 0.23 0.187755
2.1214 0.016 -23.197 0.15 0.439445
2.3577 0.011 -24.976 0.071 1.937234
1.9852 0.02 -20.516 0.287 0.120818
2.3192 0.013 -24.164 0.081 1.485884
1.9182 0.021 -20.049 0.239 0.173726
2.3388 0.009 -23.987 0.077 1.663894
2.196 0.014 -22.402 0.271 0.135801
2.3849 0.013 -24.585 0.066 2.209945
2.0183 0.016 -21.082 0.22 0.205524
2.2683 0.011 -23.528 0.088 1.271456
2.0718 0.018 -22.38 0.163 0.371844
1.9854 0.018 -20.309 0.255 0.153025
2.1029 0.017 -22.039 0.147 0.456663
2.2559 0.015 -23.786 0.099 0.997407
2.1875 0.013 -23.243 0.134 0.551724
2.1581 0.014 -22.347 0.128 0.603136
2.2277 0.013 -23.263 0.106 0.876808
2.2391 0.015 -23.844 0.133 0.558223
2.2664 0.01 -23.261 0.127 0.616181
2.1648 0.016 -22.819 0.099 0.994332
2.331 0.014 -24.166 0.066 2.196837
2.1391 0.015 -22.583 0.117 0.718701
2.0972 0.017 -22.025 0.219 0.207254
2.3176 0.011 -24.212 0.077 1.652893
2.4477 0.011 -25.119 0.067 2.169197
2.2503 0.01 -23.09 0.14 0.507614
2.1405 0.014 -22.79 0.126 0.6222
